SjS;skin diseases;skin manifestations
>24512039;First_Filter=PASSED;Last_filter=FAILED
>24507208;First_Filter=FAILED;Last_filter=FAILED
>24496695;First_Filter=PASSED;Last_filter=FAILED
>24469247;First_Filter=PASSED;Last_filter=FAILED
>24429903;First_Filter=PASSED;Last_filter=FAILED
>24399721;First_Filter=PASSED;Last_filter=FAILED
>24394640;First_Filter=PASSED;Last_filter=FAILED
>24394201;First_Filter=PASSED;Last_filter=FAILED
>24388722;First_Filter=PASSED;Last_filter=FAILED
>24345981;First_Filter=PASSED;Last_filter=FAILED
>24322967;First_Filter=PASSED;Last_filter=FAILED
>24268988;First_Filter=PASSED;Last_filter=FAILED
>24236482;First_Filter=PASSED;Last_filter=FAILED
>24225276;First_Filter=PASSED;Last_filter=FAILED
>24193402;First_Filter=PASSED;Last_filter=FAILED
>24177987;First_Filter=PASSED;Last_filter=FAILED
>24108082;First_Filter=PASSED;Last_filter=FAILED
>24082770;First_Filter=PASSED;Last_filter=FAILED
>24081481;First_Filter=PASSED;Last_filter=FAILED
>24068769;First_Filter=PASSED;Last_filter=FAILED
>24016642;First_Filter=PASSED;Last_filter=FAILED
>24016288;First_Filter=PASSED;Last_filter=FAILED
>24007192;First_Filter=PASSED;Last_filter=FAILED
>24005558;First_Filter=PASSED;Last_filter=FAILED
>23985142;First_Filter=PASSED;Last_filter=FAILED
>23974585;First_Filter=PASSED;Last_filter=FAILED
>23971123;First_Filter=PASSED;Last_filter=FAILED
>23966120;First_Filter=PASSED;Last_filter=FAILED
>23963028;First_Filter=PASSED;Last_filter=FAILED
>23962653;First_Filter=PASSED;Last_filter=FAILED
>23958700;First_Filter=PASSED;Last_filter=FAILED
>23957338;First_Filter=PASSED;Last_filter=FAILED
>23947089;First_Filter=PASSED;Last_filter=FAILED
>23919759;First_Filter=PASSED;Last_filter=FAILED
>23910224;First_Filter=PASSED;Last_filter=FAILED
>23904296;First_Filter=PASSED;Last_filter=FAILED
>23895569;First_Filter=PASSED;Last_filter=FAILED
>23884208;First_Filter=PASSED;Last_filter=FAILED
>23874553;First_Filter=PASSED;Last_filter=FAILED
>23873883;First_Filter=PASSED;Last_filter=FAILED
>23866879;First_Filter=PASSED;Last_filter=FAILED
>23866878;First_Filter=PASSED;Last_filter=FAILED
>23839186;First_Filter=PASSED;Last_filter=FAILED
>23820686;First_Filter=PASSED;Last_filter=FAILED
>23816996;First_Filter=PASSED;Last_filter=FAILED
>23799330;First_Filter=PASSED;Last_filter=FAILED
>23791505;First_Filter=PASSED;Last_filter=FAILED
>23777679;First_Filter=PASSED;Last_filter=FAILED
>23774940;First_Filter=PASSED;Last_filter=FAILED
>23761563;First_Filter=PASSED;Last_filter=FAILED
>23743691;First_Filter=PASSED;Last_filter=FAILED
>23743542;First_Filter=PASSED;Last_filter=FAILED
>23737478;First_Filter=PASSED;Last_filter=FAILED
>23727029;First_Filter=PASSED;Last_filter=FAILED
>23702222;First_Filter=PASSED;Last_filter=FAILED
>23692434;First_Filter=PASSED;Last_filter=FAILED
>23691693;First_Filter=PASSED;Last_filter=FAILED
>23680755;First_Filter=PASSED;Last_filter=FAILED
>23679157;First_Filter=PASSED;Last_filter=FAILED
>23673282;First_Filter=PASSED;Last_filter=FAILED
>23656450;First_Filter=PASSED;Last_filter=FAILED
>23649893;First_Filter=PASSED;Last_filter=FAILED
>23632341;First_Filter=PASSED;Last_filter=FAILED
>23619444;First_Filter=PASSED;Last_filter=FAILED
>23600531;First_Filter=PASSED;Last_filter=FAILED
>23588310;First_Filter=PASSED;Last_filter=FAILED
>23568286;First_Filter=PASSED;Last_filter=FAILED
>23560295;First_Filter=PASSED;Last_filter=FAILED
>23560121;First_Filter=PASSED;Last_filter=FAILED
>23543919;First_Filter=PASSED;Last_filter=FAILED
>23484337;First_Filter=PASSED;Last_filter=FAILED
>23413807;First_Filter=PASSED;Last_filter=FAILED
>23399568;First_Filter=PASSED;Last_filter=FAILED
>23373549;First_Filter=PASSED;Last_filter=FAILED
>23360455;First_Filter=PASSED;Last_filter=FAILED
>23333110;First_Filter=PASSED;Last_filter=FAILED
>23330601;First_Filter=PASSED;Last_filter=FAILED
>23319329;First_Filter=PASSED;Last_filter=FAILED
>23289903;First_Filter=PASSED;Last_filter=FAILED
>23263434;First_Filter=PASSED;Last_filter=FAILED
>23248414;First_Filter=PASSED;Last_filter=FAILED
>23224615;First_Filter=PASSED;Last_filter=FAILED
>23210290;First_Filter=FAILED;Last_filter=FAILED
>23149180;First_Filter=PASSED;Last_filter=FAILED
>23141052;First_Filter=PASSED;Last_filter=FAILED
>23136927;First_Filter=PASSED;Last_filter=FAILED
>23135531;First_Filter=PASSED;Last_filter=FAILED
>23132554;First_Filter=PASSED;Last_filter=FAILED
>23111236;First_Filter=PASSED;Last_filter=FAILED
>23087524;First_Filter=PASSED;Last_filter=FAILED
>23087523;First_Filter=PASSED;Last_filter=FAILED
>23075643;First_Filter=PASSED;Last_filter=FAILED
>23038037;First_Filter=PASSED;Last_filter=FAILED
>23058037;First_Filter=PASSED;Last_filter=FAILED
>23029066;First_Filter=PASSED;Last_filter=FAILED
>23009177;First_Filter=PASSED;Last_filter=FAILED
>22991850;First_Filter=FAILED;Last_filter=FAILED
>22968239;First_Filter=PASSED;Last_filter=FAILED
>22960836;First_Filter=PASSED;Last_filter=FAILED
>22955130;First_Filter=PASSED;Last_filter=FAILED
>22912896;First_Filter=PASSED;Last_filter=FAILED
>22892429;First_Filter=PASSED;Last_filter=FAILED
>22881464;First_Filter=PASSED;Last_filter=FAILED
>22864159;First_Filter=PASSED;Last_filter=FAILED
>22820360;First_Filter=FAILED;Last_filter=FAILED
>22818907;First_Filter=PASSED;Last_filter=FAILED
>22774598;First_Filter=FAILED;Last_filter=FAILED
>22722485;First_Filter=PASSED;Last_filter=FAILED
>22715836;First_Filter=PASSED;Last_filter=FAILED
>22714769;First_Filter=PASSED;Last_filter=FAILED
>22707893;First_Filter=PASSED;Last_filter=FAILED
>22683916;First_Filter=PASSED;Last_filter=FAILED
>22677638;First_Filter=PASSED;Last_filter=FAILED
>22639874;First_Filter=PASSED;Last_filter=FAILED
>22623446;First_Filter=PASSED;Last_filter=FAILED
>22623444;First_Filter=PASSED;Last_filter=FAILED
>22623440;First_Filter=PASSED;Last_filter=FAILED
>22623439;First_Filter=PASSED;Last_filter=FAILED
>22623438;First_Filter=PASSED;Last_filter=FAILED
>22613860;First_Filter=PASSED;Last_filter=FAILED
>22613851;First_Filter=PASSED;Last_filter=FAILED
>22613850;First_Filter=PASSED;Last_filter=FAILED
>22592345;First_Filter=FAILED;Last_filter=FAILED
>22562584;First_Filter=PASSED;Last_filter=FAILED
>22546532;First_Filter=PASSED;Last_filter=FAILED
>22543685;First_Filter=PASSED;Last_filter=FAILED
>22541332;First_Filter=PASSED;Last_filter=FAILED
>22458564;First_Filter=PASSED;Last_filter=FAILED
>22374707;First_Filter=PASSED;Last_filter=FAILED
>22348435;First_Filter=PASSED;Last_filter=FAILED
>22322005;First_Filter=PASSED;Last_filter=FAILED
>22277675;First_Filter=PASSED;Last_filter=FAILED
>22226608;First_Filter=PASSED;Last_filter=FAILED
>22211527;First_Filter=PASSED;Last_filter=FAILED
>22187054;First_Filter=PASSED;Last_filter=FAILED
>22145749;First_Filter=PASSED;Last_filter=FAILED
>22139991;First_Filter=PASSED;Last_filter=FAILED
>22116946;First_Filter=PASSED;Last_filter=FAILED
>22113160;First_Filter=PASSED;Last_filter=FAILED
>22108740;First_Filter=PASSED;Last_filter=FAILED
>22101216;First_Filter=PASSED;Last_filter=FAILED
>22098009;First_Filter=PASSED;Last_filter=FAILED
>22092454;First_Filter=PASSED;Last_filter=FAILED
>22088428;First_Filter=PASSED;Last_filter=FAILED
>22082897;First_Filter=PASSED;Last_filter=FAILED
>22053601;First_Filter=PASSED;Last_filter=FAILED
>22043758;First_Filter=PASSED;Last_filter=FAILED
>22041607;First_Filter=PASSED;Last_filter=FAILED
>22041139;First_Filter=PASSED;Last_filter=FAILED
>22014091;First_Filter=PASSED;Last_filter=FAILED
>22012144;First_Filter=PASSED;Last_filter=FAILED
>21941176;First_Filter=PASSED;Last_filter=FAILED
>21939920;First_Filter=PASSED;Last_filter=FAILED
>21936856;First_Filter=PASSED;Last_filter=FAILED
>21924464;First_Filter=PASSED;Last_filter=FAILED
>21917426;First_Filter=PASSED;Last_filter=FAILED
>21912425;First_Filter=PASSED;Last_filter=FAILED
>21906289;First_Filter=PASSED;Last_filter=FAILED
>21890829;First_Filter=PASSED;Last_filter=FAILED
>21873140;First_Filter=PASSED;Last_filter=FAILED
>21855725;First_Filter=PASSED;Last_filter=FAILED
>21851164;First_Filter=PASSED;Last_filter=FAILED
>21834698;First_Filter=PASSED;Last_filter=FAILED
>21802305;First_Filter=PASSED;Last_filter=FAILED
>21801394;First_Filter=PASSED;Last_filter=FAILED
>21790926;First_Filter=PASSED;Last_filter=FAILED
>21768172;First_Filter=PASSED;Last_filter=FAILED
>21738349;First_Filter=PASSED;Last_filter=FAILED
>21710108;First_Filter=PASSED;Last_filter=FAILED
>21702057;First_Filter=PASSED;Last_filter=FAILED
>21682079;First_Filter=PASSED;Last_filter=FAILED
>21676164;First_Filter=PASSED;Last_filter=FAILED
>21675930;First_Filter=PASSED;Last_filter=FAILED
>21672443;First_Filter=FAILED;Last_filter=FAILED
>21668825;First_Filter=PASSED;Last_filter=FAILED
>21666311;First_Filter=PASSED;Last_filter=FAILED
>21659858;First_Filter=PASSED;Last_filter=FAILED
>21654132;First_Filter=PASSED;Last_filter=FAILED
>21562486;First_Filter=PASSED;Last_filter=FAILED
>21545408;First_Filter=PASSED;Last_filter=FAILED
>21535132;First_Filter=PASSED;Last_filter=FAILED
>21532271;First_Filter=PASSED;Last_filter=FAILED
>21527414;First_Filter=PASSED;Last_filter=FAILED
>21507837;First_Filter=PASSED;Last_filter=FAILED
>21507517;First_Filter=PASSED;Last_filter=FAILED
>21482501;First_Filter=PASSED;Last_filter=FAILED
>21467603;First_Filter=PASSED;Last_filter=FAILED
>21440941;First_Filter=PASSED;Last_filter=FAILED
>21428769;First_Filter=PASSED;Last_filter=FAILED
>21428768;First_Filter=PASSED;Last_filter=FAILED
>21424386;First_Filter=PASSED;Last_filter=FAILED
>21417504;First_Filter=PASSED;Last_filter=FAILED
>21414644;First_Filter=FAILED;Last_filter=FAILED
>21410610;First_Filter=PASSED;Last_filter=FAILED
>21397523;First_Filter=PASSED;Last_filter=FAILED
>21373727;First_Filter=PASSED;Last_filter=FAILED
>21354501;First_Filter=PASSED;Last_filter=FAILED
>21342230;First_Filter=PASSED;Last_filter=FAILED
>21342227;First_Filter=PASSED;Last_filter=FAILED
>21342226;First_Filter=PASSED;Last_filter=FAILED
>21334226;First_Filter=PASSED;Last_filter=FAILED
>21333817;First_Filter=FAILED;Last_filter=FAILED
>21323097;First_Filter=PASSED;Last_filter=FAILED
>21306565;First_Filter=PASSED;Last_filter=FAILED
>21297371;First_Filter=FAILED;Last_filter=FAILED
>21244392;First_Filter=PASSED;Last_filter=FAILED
>21233064;First_Filter=PASSED;Last_filter=FAILED
>21228709;First_Filter=PASSED;Last_filter=FAILED
>21221126;First_Filter=PASSED;Last_filter=FAILED
>21216202;First_Filter=PASSED;Last_filter=FAILED
>21204807;First_Filter=PASSED;Last_filter=FAILED
>21198948;First_Filter=PASSED;Last_filter=FAILED
>21176015;First_Filter=PASSED;Last_filter=FAILED
>21162721;First_Filter=PASSED;Last_filter=FAILED
>21148602;First_Filter=PASSED;Last_filter=FAILED
>21143513;First_Filter=PASSED;Last_filter=FAILED
>21099409;First_Filter=PASSED;Last_filter=FAILED
>21071176;First_Filter=PASSED;Last_filter=FAILED
>21057748;First_Filter=PASSED;Last_filter=FAILED
>21044925;First_Filter=PASSED;Last_filter=FAILED
>20973736;First_Filter=PASSED;Last_filter=FAILED
>20964982;First_Filter=PASSED;Last_filter=FAILED
>20962567;First_Filter=PASSED;Last_filter=FAILED
